"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,3702,4,4786,"MFKRT/","מַשְׂכֹּרֶת",,,,,"subs",,"wages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3703,4,4803,"MCMN/","מִשְׁמָן",,,,,"subs",,"fatness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3704,4,4806,"MCM<=/","מִשְׁמָע",,,,,"nmpr",,"Mishma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3705,4,4808,"MCM<T/","מִשְׁמַעַת",,,,,"subs",,"subject, body-guard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3706,4,4817,"MC<N=/","מִשְׁעָן",,,,,"subs",,"support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3707,4,4853,"MTL<WT/","מְתַלְּעֹות",,,,,"subs",,"jaw-bones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3708,4,4854,"MTM/","מְתֹם",,,,,"subs",,"sound spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3709,4,4871,"MTTJH/","מַתִּתְיָה",,,,,"nmpr",,"Mattithiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3710,4,4872,"MTTJHW/","מַתִּתְיָהוּ",,,,,"nmpr",,"Mattithiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3711,4,4875,"N>=/","נֹא",,,,,"nmpr",,"Thebes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3712,4,4889,"N>QH/","נְאָקָה",,,,,"subs",,"groaning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3713,4,4893,"NBB[","נבב","i-nun",,,"geminate","verb","qal","be hollow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3714,4,4975,"NHR[","נהר","i-nun","ii-guttural",,,"verb","qal","stream, flow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3715,4,4980,"NWB[","נוב","i-nun",,,"ii-waw","verb","piel qal","thrive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3716,4,5062,"NVL[","נטל","i-nun",,,,"verb","piel qal","lift; bear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3717,4,5065,"NV</","נֶטַע",,,,,"subs",,"plant; plantation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3718,4,5073,"NVR[","נטר","i-nun",,,,"verb","qal","keep, guard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3719,4,5082,"NJN/","נִין",,,,,"subs",,"offspring, posterity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720,4,5095,"NKH==/","נְכֹה",,,,,"nmpr",,"Neco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3721,4,5098,"NKW/","נְכֹו",,,,,"nmpr",,"Neco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3722,4,5103,"NKL[","נכל","i-nun",,,,"verb","hit piel qal","act cunningly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3723,4,5116,"NMRD/","נִמְרֹד",,,,,"nmpr",,"Nimrod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3724,4,5123,"NSX[","נסח","i-nun",,"iii-guttural",,"verb","nif qal","tear away, tear down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3725,4,5124,"NSJK/","נָסִיךְ",,,,,"subs",,"leader",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726,4,5129,"NSK=/","נֵסֶךְ",,,,,"subs",,"molten image",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3727,4,5134,"N<H/","נֹעָה",,,,,"nmpr",,"Noah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3728,4,5143,"N<MH/","נַעֲמָה",,,,,"nmpr",,"Naamah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3729,4,5149,"N<MTJ/","נַעֲמָתִי",,,,,"adjv",,"Naamathite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3730,4,5154,"N<R=/","נֹעַר",,,,,"subs",,"youth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3731,4,5164,"NPG/","נֶפֶג",,,,,"nmpr",,"Nepheg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3732,4,5165,"NPH/","נָפָה",,,,,"subs",,"yoke, height",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3733,4,5172,"NPK/","נֹפֶךְ",,,,,"subs",,"<precious stone>, turquoise?",,,,,,,,"turquoise? (precious stone)",,"turquoise? (precious stone)",,,,,,,,,,,,,,,,,,,,,,,,
,3734,4,5202,"NYY[","נצץ","i-nun",,,"geminate","verb","hif qal","sparkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3735,4,5204,"NYR/","נֵצֶר",,,,,"subs",,"sprout, shoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3736,4,5213,"NQWD>/","נְקֹודָא",,,,,"nmpr",,"Nekoda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737,4,5245,"NFJ>=/","נָשִׂיא",,,,,"subs",,"mist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738,4,5289,"SB>==/","סְבָא",,,,,"nmpr",,"Seba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3739,4,5299,"SBKJ/","סִבְּכַי",,,,,"nmpr",,"Sibbecai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3740,4,5309,"SGD[","סגד",,,,"regular","verb","qal","prostrate oneself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3741,4,5317,"SDJN/","סָדִין",,,,,"subs",,"wrapper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3742,4,5336,"SWP[","סוף",,,,"ii-waw","verb","qal","come to an end",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3743,4,5362,"SJN/","סִין",,,,,"nmpr",,"Sin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3744,4,5373,"SK/","סֹךְ",,,,,"subs",,"covert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3745,4,5406,"SLKH/","סַלְכָה",,,,,"nmpr",,"Salecah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3746,4,5442,"S<JP/","סָעִיף",,,,,"subs",,"cleft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3747,4,5459,"SPJX/","סָפִיחַ",,,,,"subs",,"growth from spilled kernels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3748,4,5480,"SR/","סַר",,,,,"adjv",,"sullen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3749,4,5488,"SRWX/","סָרוּחַ",,,,,"adjv",,"overhanging; sprawling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3750,4,5529,"<BWV/","עֲבֹוט",,,,,"subs",,"pledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3751,4,5533,"<BWT/","עָבֹות",,,,,"adjv",,"branchy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3752,4,5572,"<D>/","עִדֹּא",,,,,"nmpr",,"Iddo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3753,4,5577,"<DH=/","עֵדָה",,,,,"subs",,"witness; testimony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754,4,5579,"<DW/","עִדֹּו",,,,,"nmpr",,"Iddo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755,4,5585,"<DJN=/","עָדִין",,,,,"nmpr",,"Adin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3756,4,5614,"<DCJM/","עֲדָשִׁים",,,,,"subs",,"lentils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3757,4,5621,"<WGB/","עוּגָב",,,,,"subs",,"flute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3758,4,5630,"<WJM/","עַוִּים",,,,,"nmpr",,"Avvites; Avvim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3759,4,5668,"<Z>ZL/","עֲזָאזֵל",,,,,"nmpr",,"Azazel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3760,4,5673,"<ZGD/","עַזְגָּד",,,,,"nmpr",,"Azgad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3761,4,5676,"<ZWBH/","עֲזוּבָה",,,,,"nmpr",,"Azubah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762,4,5711,"<V/","עֵט",,,,,"subs",,"stylus, pen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3763,4,5713,"<VH=[","עטה","i-guttural",,"iii-hey",,"verb","qal","grasp; louse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3764,4,5723,"<VRWT/","עֲטָרֹות",,,,,"nmpr",,"Ataroth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765,4,5753,"<JN_RGL/","עֵינ רֹגֵל",,,,,"nmpr",,"En Rogel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3766,4,5762,"<JPH=/","עֵיפָה",,,,,"nmpr",,"Ephah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3767,4,5805,"<LWMJM/","עֲלוּמִים",,,,,"subs",,"youth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768,4,5810,"<LVH/","עֲלָטָה",,,,,"subs",,"darkness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3769,4,5856,"<MJR/","עָמִיר",,,,,"subs",,"swath, row of fallen grain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,4,5946,"<PR==/","עֵפֶר",,,,,"nmpr",,"Epher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3771,4,6041,"<RD/","עֲרָד",,,,,"nmpr",,"Arad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772,4,6045,"<RWGH/","עֲרוּגָה",,,,,"subs",,"garden bed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3773,4,6056,"<RJSH/","עֲרִיסָה",,,,,"subs",,"dough?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3774,4,6059,"<RJRJ/","עֲרִירִי",,,,,"adjv",,"childless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3775,4,6083,"<RR[","ערר","i-guttural","ii-guttural",,"geminate","verb","hit piel qal","strip oneself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3776,4,6104,"<CN==/","עָשָׁן",,,,,"nmpr",,"Ashan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3777,4,6128,"<CTRT=/","עַשְׁתֶּרֶת",,,,,"subs",,"ewes of your flock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3778,4,6140,"<TJ=/","עַתָּי",,,,,"nmpr",,"Attai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3779,4,6154,"<TQ/","עָתָק",,,,,"adjv",,"unrestrained, arrogant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3780,4,6171,"PGWL/","פִּגּוּל",,,,,"subs",,"unclean meat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3781,4,6183,"PDWT/","פְּדוּת",,,,,"subs",,"redemption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3782,4,6194,"PWG[","פוג",,,,"ii-waw","verb","nif qal","be cold, weak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3783,4,6203,"PWK/","פּוּךְ",,,,,"subs",,"eye-paint; mortar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3784,4,6219,"PWC[","פושׁ",,,,"ii-waw","verb","nif qal","prance, leap about",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3785,4,6240,"PVDH/","פִּטְדָּה",,,,,"subs",,"<precious stone>, chrysolyte?; topaz?",,,,,,,,"chrysolyte?; topaz? (precious stone)",,"chrysolyte?; topaz? (precious stone)",,,,,,,,,,,,,,,,,,,,,,,,
,3786,4,6247,"PJD/","פִּיד",,,,,"subs",,"misfortune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3787,4,6266,"PLG[","פלג",,,,"regular","verb","nif piel","be divided",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3788,4,6298,"PLL=[","פלל",,,,"regular","verb","piel","arbitrate; presume",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3789,4,6303,"PLS[","פלס",,,,"regular","verb","piel","level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3790,4,6307,"PLYWT/","פַּלָּצוּת",,,,,"subs",,"shuddering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3791,4,6308,"PLC[","פלשׁ",,,,"regular","verb","hit","roll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3792,4,6333,"PSX==/","פָּסֵחַ",,,,,"nmpr",,"Paseah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3793,4,6351,"P<R[","פער",,"ii-guttural",,,"verb","qal","open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3794,4,6424,"PR</","פֶּרַע",,,,,"subs",,"loose hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3795,4,6440,"PRR=[","פרר",,"ii-guttural",,,"verb","hit piel qal","be tossed to and fro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3796,4,6465,"PCTH/","פִּשְׁתָּה",,,,,"subs",,"flax; wick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3797,4,6482,"PTXJH/","פְּתַחְיָה",,,,,"nmpr",,"Pethahiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3798,4,6489,"PTL[","פתל",,,,"regular","verb","hit nif","be twisted, tortuous; wrestle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3799,4,6558,"YWXH/","צְוָחָה",,,,,"subs",,"outcry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3800,4,6568,"YWPR/","צֹופַר",,,,,"nmpr",,"Zophar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3801,4,6575,"YWR=[","צור",,,,,"verb","qal","be hostile towards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3802,4,6580,"YWRH/","צוּרָה",,,,,"subs",,"form, fashion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3803,4,6585,"YX/","צַח",,,,,"adjv",,"dazzling, bright, clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3804,4,6598,"YJ=/","צִי",,,,,"subs",,"ship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3805,4,6617,"YJYT/","צִיצִת",,,,,"subs",,"lock of hair; tassel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3806,4,6628,"YLXT/","צַלַּחַת",,,,,"subs",,"pan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3807,4,6631,"YLL=[","צלל",,,,"regular","verb","hif qal","tingle; quiver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3808,4,6640,"YL<[","צלע",,,"iii-guttural",,"verb","qal","limp, be lame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3809,4,6643,"YL<=/","צֶלַע",,,,,"subs",,"stumbling, fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3810,4,6659,"YMH/","צַמָּה",,,,,"subs",,"veil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3811,4,6660,"YMWQJM/","צִמּוּקִים",,,,,"subs",,"cake of dried grapes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3812,4,6683,"YNJP/","צָנִיף",,,,,"subs",,"turban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3813,4,6736,"YP<NJ/","צִפְעֹנִי",,,,,"subs",,"poisonous serpent, viper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3814,4,6737,"YPP[","צפף",,,,"geminate","verb","piel","chirp, whisper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3815,4,6753,"YR==/","צֹר",,,,,"subs",,"flint; flint knife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3816,4,6769,"YRJX/","צְרִיחַ",,,,,"subs",,"cellar, vault",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3817,4,6816,"QDMH/","קִדְמָה",,,,,"subs",,"in front of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818,4,6820,"QDMWT/","קְדֵמֹות",,,,,"nmpr",,"Kedemoth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3819,4,6836,"QHH[","קהה",,"ii-guttural",,"geminate","verb","piel qal","be blunt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3820,4,6845,"QW==/","קַו",,,,,"subs",,"elasticity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3821,4,6873,"QVB/","קֶטֶב",,,,,"subs",,"destruction, plague",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3822,4,6874,"QVWRH=/","קְטוּרָה",,,,,"nmpr",,"Keturah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3823,4,6878,"QVN[","קטן",,,,"regular","verb","hif qal","be small, insignificant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3824,4,6893,"QJVWR/","קִיטֹור",,,,,"subs",,"smoke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3825,4,6907,"QJYWN/","קִיצֹון",,,,,"adjv",,"outermost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3826,4,6911,"QJR=/","קִיר",,,,,"nmpr",,"Kir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3827,4,6922,"QLH[","קלה",,,"iii-hey",,"verb","nif qal","roast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3828,4,6933,"QLS[","קלס",,,,"regular","verb","hit piel","scoff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3829,4,6936,"QL<[","קלע",,,"iii-guttural",,"verb","piel qal","sling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3830,4,6951,"QMY/","קֹמֶץ",,,,,"subs",,"handful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3831,4,6963,"QNZJ/","קְנִזִּי",,,,,"adjv",,"Kenizzite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3832,4,7037,"QRXT/","קָרַחַת",,,,,"subs",,"bald spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3833,4,7049,"QRJT_SPR/","קִרְיַת סֵפֶר",,,,,"nmpr",,"Kiriath Sepher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3834,4,7052,"QRN[","קרן",,"ii-guttural",,,"verb","hif qal","send out rays",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3835,4,7060,"QR<JM/","קְרָעִים",,,,,"subs",,"rags",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3836,4,7075,"QCB/","קֶשֶׁב",,,,,"subs",,"attentiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3837,4,7080,"QFWH/","קַשְׂוָה",,,,,"subs",,"jar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3838,4,7104,"R>J/","רֳאִי",,,,,"subs",,"appearance; spectacle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3839,4,7105,"R>JH/","רְאָיָה",,,,,"nmpr",,"Reaiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3840,4,7138,"RB<=[","רבע","i-guttural",,"iii-guttural",,"verb","hif qal","lie down; lie with",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3841,4,7139,"RB</","רִבֵּעַ",,,,,"subs",,"member of fourth generation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842,4,7145,"RBY/","רֵבֶץ",,,,,"subs",,"resting place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3843,4,7174,"RHB[","רהב","i-guttural","ii-guttural",,,"verb","hif qal","storm against",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3844,4,7179,"RHV/","רַהַט",,,,,"subs",,"watering trough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3845,4,7213,"RXB=====/","רְחֹב",,,,,"nmpr",,"Rehob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3846,4,7223,"RXWM=/","רְחוּם",,,,,"nmpr",,"Rehum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3847,4,7228,"RXL/","רָחֵל",,,,,"subs",,"ewe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3848,4,7273,"RKBJ/","רֵכָבִי",,,,,"adjv",,"Recabite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3849,4,7281,"RKLH/","רְכֻלָּה",,,,,"subs",,"traffic; merchandise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3850,4,7286,"RKC/","רֶכֶשׁ",,,,,"subs",,"span, horses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3851,4,7289,"RMH[","רמה","i-guttural",,"iii-hey",,"verb","qal","throw; shoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3852,4,7320,"RNNH/","רְנָנָה",,,,,"subs",,"cry of joy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3853,4,7325,"RSN/","רֶסֶן",,,,,"subs",,"bridle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3854,4,7339,"R<DH/","רְעָדָה",,,,,"subs",,"trembling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3855,4,7374,"RP>/","רָפָא",,,,,"nmpr",,"Rapha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3856,4,7382,"RPH/","רָפֶה",,,,,"adjv",,"slack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3857,4,7383,"RPH==/","רָפָה",,,,,"nmpr",,"Rapha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3858,4,7414,"RYPH==/","רִצְפָּה",,,,,"nmpr",,"Rizpah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3859,4,7455,"RTM/","רֹתֶם",,,,,"subs",,"broom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3860,4,7464,"C>H[","שׁאה",,"ii-guttural","iii-hey",,"verb","hif nif qal","be desolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3861,4,7517,"CBJT/","שְׁבִית",,,,,"subs",,"captivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3862,4,7560,"CGG[","שׁגג",,,,"geminate","verb","qal","err",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863,4,7562,"FGH[","שׂגה",,,"iii-hey",,"verb","hif qal","grow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864,4,7591,"FDRH/","שְׂדֵרָה",,,,,"subs",,"row?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865,4,7605,"CWBB/","שֹׁובֵב",,,,,"adjv",,"apostate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866,4,7606,"CWBB==/","שֹׁובָב",,,,,"nmpr",,"Shobab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3867,4,7663,"CWQ=/","שׁוּק",,,,,"subs",,"street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3868,4,7666,"FWR[","שׂור",,,,"ii-waw","verb","hif qal","<uncertain>",,,,,,,,"(uncertain)",,"(uncertain)",,,,,,,,,,,,,,,,,,,,,,,,
,3869,4,7670,"CWR=/","שׁוּר",,,,,"subs",,"wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870,4,7680,"CWTLX/","שׁוּתֶלַח",,,,,"nmpr",,"Shuthelah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3871,4,7710,"CXQ[","שׁחק",,"ii-guttural",,,"verb","qal","pulverize; rub away",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872,4,7746,"FJD/","שִׂיד",,,,,"subs",,"lime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873,4,7751,"FJX/","שִׂיחַ",,,,,"subs",,"shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874,4,7755,"CJXWR/","שִׁיחֹור",,,,,"nmpr",,"Shihor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3875,4,7775,"CKBT/","שְׁכֹבֶת",,,,,"subs",,"copulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3876,4,7828,"FLW/","שְׂלָו",,,,,"subs",,"quail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877,4,7853,"CLJV/","שַׁלִּיט",,,,,"adjv",,"ruler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878,4,7872,"FLM>/","שַׂלְמָא",,,,,"nmpr",,"Salma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
